name;year;Effectiveness;Load;Quality;NSabonents
I. Колпашевская РБ;;;;;
;30.11.2015;74.97;36410;0;0
;01.12.2015;84.59;24171;0;0
;02.12.2015;76.9;26821;0;0
;03.12.2015;69.21;26577;0;0
;04.12.2015;92.28;26072;0;0
;05.12.2015;66.66;1683;0;0
;06.12.2015;0;0;0;0
II. Поликлиника №1;;;;;
;30.11.2015;16.66;2029003;0;0
;01.12.2015;46.14;1228592;0;0
;02.12.2015;69.21;717080;0;0
;03.12.2015;38.45;473876;0;0
;04.12.2015;61.52;261174;0;0
;05.12.2015;0;0;0;0
;06.12.2015;0;0;0;0
III. Детская больница №1;;;;;
;30.11.2015;10;64632;0;0
;01.12.2015;40;41418;0;0
;02.12.2015;40;36794;0;0
;03.12.2015;30;47373;0;0
;04.12.2015;30;36309;0;0
;05.12.2015;0;0;0;0
;06.12.2015;0;0;0;0
